ID Đơn,Ngày Tạo,Khách Hàng,Trạng Thái,Phí Thu Khách,Phí Trả Đối tác
88030,2026-04-20T06:33:57.178080,"",16,60000,56000
87984,2026-04-20T03:47:23.295957,"",16,28000,28000
87975,2026-04-20T03:33:57.101359,"",16,70000,55000
87968,2026-04-20T03:19:09.603818,"",16,165000,165000
87960,2026-04-20T02:57:40.560644,"",16,45000,35000
87907,2026-04-20T01:15:24.246167,"",16,115000,116000
87902,2026-04-20T00:58:38.922313,"",16,60000,60000
87787,2026-04-18T10:25:02.632828,"",16,130000,130000
87731,2026-04-18T03:41:58.147208,"",16,80000,70000
87721,2026-04-18T02:27:13.651549,"",16,50000,45000
87720,2026-04-18T02:20:26.103311,"",16,150000,220000
87714,2026-04-18T01:31:50.245665,"",16,50000,50000
87681,2026-04-17T09:51:32.538014,"",16,60000,55000
87680,2026-04-17T09:42:22.234551,"",16,60000,55000
87653,2026-04-17T07:45:23.074943,"",2,30000,28000
87611,2026-04-17T03:38:28.940329,"",16,50000,50000
87570,2026-04-17T01:12:10.677106,"",16,180000,190000
87523,2026-04-16T07:48:07.770316,"",16,40000,40000
87504,2026-04-16T06:35:49.817919,"",16,15440,240000
87487,2026-04-16T04:37:23.226645,"",16,40000,26000
87459,2026-04-16T02:04:04.819590,"",16,60000,50000
87375,2026-04-15T09:31:49.238441,"",16,95000,105000
87366,2026-04-15T09:21:08.272788,"",16,75000,140000
87335,2026-04-15T08:05:55.779396,"",16,170000,169000
87312,2026-04-15T07:24:25.870846,"",16,50000,38000
87238,2026-04-15T03:36:30.391874,"",16,60000,50000
87217,2026-04-15T02:59:00.598334,"",2,230000,232000
87186,2026-04-15T01:04:51.027906,"",16,120000,127000
87129,2026-04-14T10:33:56.627228,"",16,100000,138000
87099,2026-04-14T07:19:01.041723,"",16,17000,18000
87084,2026-04-14T06:37:10.702288,"",16,78000,68000
87064,2026-04-14T04:56:16.395909,"",16,150000,200000
87052,2026-04-14T03:19:24.764593,"",16,65000,65000
87051,2026-04-14T03:15:06.782961,"",16,50000,55000
